Age,Annual_Income,Employment_Years,Credit_Score,Loan_Amount,Loan_Term_Months,Debt_To_Income_Ratio,Previous_Defaults,Dependents,Home_Owner,Default
67,682770,13,604,665078,36,0.19,0,3,Yes,0
34,447583,36,600,783957,60,0.39,0,1,No,0
40,686784,36,556,311745,12,0.25,0,4,Yes,0
42,660427,5,518,402592,36,0.2,0,2,Yes,0
31,1041231,17,554,490393,48,0.41,1,2,No,1
47,822042,21,772,189998,36,0.25,0,1,Yes,0
23,1564177,17,736,682345,60,0.11,0,1,No,0
37,200000,1,724,431137,24,0.53,0,0,No,0
64,894011,31,662,403580,36,0.46,0,0,Yes,0
48,664533,16,676,339258,36,0.2,0,2,No,0
49,513187,0,658,491486,48,0.46,0,2,No,0
41,791069,8,553,538941,24,0.72,0,4,No,0
67,768614,12,731,749012,12,0.72,1,3,Yes,1
36,1123343,35,748,756036,60,0.42,0,3,No,0
57,827377,36,587,216581,60,0.12,0,1,Yes,0
40,592159,29,587,615137,36,0.37,0,1,Yes,1
26,900263,30,708,807475,36,0.07,0,0,No,0
39,731104,22,707,444344,36,0.34,0,2,Yes,0
25,462356,27,738,457512,60,0.69,0,0,Yes,0
23,725436,9,793,400808,36,0.38,0,1,Yes,0
21,869282,24,595,634554,48,0.44,0,2,Yes,0
58,821684,35,673,571835,60,0.16,1,0,Yes,0
35,899093,25,599,744911,36,0.06,0,2,Yes,0
54,642054,25,605,472200,24,0.75,0,2,Yes,0
55,895283,12,645,814999,36,0.29,0,0,Yes,0
69,836034,16,795,649377,60,0.25,0,4,Yes,0
45,838468,39,768,794084,36,0.45,2,1,No,0
44,809706,3,674,351039,60,0.57,0,0,No,0
32,1452827,22,507,891912,60,0.23,0,1,Yes,0
38,1133037,34,711,361128,36,0.42,1,4,Yes,0
35,888617,10,709,372841,36,0.28,0,3,Yes,0
64,559937,11,605,401585,48,0.39,0,0,Yes,0
36,712300,8,746,374922,24,0.16,0,3,Yes,0
47,1284736,14,603,973388,36,0.41,0,2,Yes,0
28,631118,36,746,630455,24,0.08,0,0,Yes,0
66,750281,4,699,623969,48,0.64,0,2,Yes,0
45,733579,18,563,50000,60,0.49,2,1,Yes,1
37,910366,10,651,821372,24,0.71,0,1,Yes,0
49,669006,8,691,240384,48,0.47,0,1,No,0
28,853057,34,704,490911,36,0.18,0,2,Yes,0
35,675704,26,762,323952,48,0.39,0,2,Yes,0
47,1194353,12,772,559915,48,0.52,0,2,No,0
66,594116,11,660,883515,24,0.31,0,0,Yes,0
27,1093293,8,724,259644,24,0.44,1,2,No,0
23,624459,27,808,320264,24,0.16,0,0,Yes,0
49,543876,12,598,534895,60,0.59,0,4,No,0
64,589762,19,631,892499,36,0.69,0,1,Yes,1
44,286569,12,547,393846,60,0.27,0,0,No,0
23,931579,26,629,320943,36,0.61,0,2,Yes,0
40,450807,25,696,540976,36,0.11,0,2,No,0
66,692624,28,510,501871,48,0.22,0,0,Yes,0
35,1028486,28,714,243752,48,0.37,0,0,Yes,0
45,1018805,21,642,398667,24,0.32,0,4,Yes,0
50,370502,8,674,50000,24,0.48,0,1,No,0
34,893163,23,586,492396,12,0.44,0,0,Yes,0
27,1142148,18,671,188515,48,0.11,0,1,Yes,0
37,608947,37,814,1117237,48,0.14,0,0,Yes,0
64,954071,30,648,638708,12,0.09,0,0,No,0
40,457016,38,502,563443,24,0.72,0,0,No,1
56,915697,14,777,631738,36,0.5,0,3,Yes,0
29,839381,31,723,377160,36,0.65,0,0,Yes,0
58,998344,28,687,464454,36,0.43,0,1,Yes,0
68,979743,33,725,626348,60,0.19,0,0,Yes,0
42,393954,8,686,256028,48,0.49,0,1,No,0
22,840965,34,811,670775,24,0.4,0,1,Yes,0
44,1235874,5,740,1026780,24,0.34,0,1,Yes,0
28,200000,36,643,130025,36,0.31,0,1,Yes,0
31,1090077,13,799,633194,36,0.51,0,2,Yes,0
33,1280511,8,825,295389,48,0.48,0,3,No,0
37,354609,18,752,672736,36,0.16,0,1,No,0
28,598790,22,712,584725,36,0.62,0,1,Yes,1
41,955322,27,611,969901,36,0.5,0,3,Yes,0
38,534162,15,734,925385,24,0.43,0,0,Yes,0
50,1209373,25,711,137976,36,0.57,0,4,No,0
38,1117668,37,677,691060,48,0.16,0,2,Yes,0
66,384511,39,735,686768,60,0.69,0,1,Yes,0
67,577082,24,686,797229,12,0.24,0,1,No,0
51,1030951,34,723,618103,36,0.23,1,0,Yes,0
58,1019197,4,762,649130,36,0.62,0,1,Yes,0
52,1465532,6,573,241849,48,0.28,0,2,No,0
31,536035,22,598,605489,48,0.63,0,0,Yes,0
65,1237765,24,607,445855,60,0.28,1,0,No,0
45,525825,0,835,670907,12,0.44,0,4,Yes,0
53,950096,21,730,476371,36,0.21,1,0,Yes,0
58,1067702,3,738,611800,48,0.56,0,3,Yes,0
61,200000,27,770,654032,48,0.17,0,2,No,0
28,1073361,13,596,658747,24,0.68,1,1,Yes,1
31,1215370,32,516,314050,36,0.31,0,2,No,0
42,1128764,3,674,1104691,24,0.38,0,0,Yes,0
44,1416001,10,751,563469,60,0.07,0,2,No,0
61,1089553,38,664,657936,48,0.73,0,3,Yes,0
37,638838,31,570,514750,24,0.62,0,1,Yes,1
32,1171703,3,607,222941,36,0.36,0,1,No,0
66,621810,0,585,695718,36,0.69,1,0,Yes,0
52,824725,25,631,567088,24,0.7,1,3,Yes,0
35,1049534,32,587,722203,60,0.42,1,3,No,1
36,934424,16,691,333777,24,0.21,0,1,No,0
42,1205339,26,636,416924,36,0.39,0,1,No,0
48,1546602,4,730,566963,36,0.28,0,1,No,0
40,458790,6,601,512064,48,0.36,0,1,Yes,0
53,701499,24,700,428459,24,0.69,0,1,No,0
30,894913,7,676,567211,36,0.25,0,0,No,0
60,661042,33,711,857450,12,0.64,0,0,No,0
52,777288,3,722,614460,48,0.7,0,2,No,0
53,1032745,11,731,793254,24,0.61,0,1,Yes,0
22,992872,30,746,458037,48,0.42,1,1,Yes,0
53,874199,10,723,513632,36,0.44,0,1,No,0
53,844319,36,703,560780,12,0.62,0,1,No,0
61,732838,35,626,388880,24,0.08,0,0,Yes,0
33,1221356,21,748,562896,24,0.57,0,1,Yes,0
50,1299016,0,624,891954,60,0.42,0,1,Yes,0
53,1105644,3,656,936088,36,0.33,0,3,Yes,0
33,455187,35,611,843808,60,0.59,0,1,Yes,0
46,721336,7,609,576422,12,0.24,1,0,Yes,0
42,859899,24,654,320215,12,0.68,0,2,Yes,0
59,517791,27,661,1111744,60,0.53,0,1,No,0
22,823725,37,614,371532,48,0.48,0,3,No,0
58,806666,35,681,881099,48,0.42,0,4,Yes,0
59,1125241,35,692,591495,60,0.2,0,3,Yes,0
46,650512,3,636,241758,60,0.48,0,0,Yes,0
66,1148990,12,850,129542,12,0.56,0,1,Yes,0
35,512789,37,706,847612,24,0.06,0,2,No,0
54,554648,24,689,356436,24,0.31,0,1,Yes,0
62,686191,2,625,185009,48,0.63,0,1,Yes,0
64,814361,31,691,432805,36,0.49,0,1,Yes,0
69,200000,38,699,498729,36,0.48,0,2,Yes,0
60,937789,0,679,592744,60,0.21,0,3,No,0
31,1312802,10,793,579797,48,0.49,0,2,No,0
23,995380,1,543,316878,12,0.6,0,2,Yes,1
26,736799,4,649,500400,36,0.33,0,2,No,0
29,474622,21,737,929378,12,0.18,0,2,Yes,0
26,256093,12,608,236863,36,0.1,0,3,No,0
29,307092,22,556,617736,24,0.4,0,0,No,0
59,760748,30,638,236509,12,0.53,0,4,Yes,0
51,1432073,34,763,397090,48,0.16,0,1,No,0
52,200000,37,610,783103,60,0.35,0,1,Yes,0
61,1010065,34,651,50000,60,0.45,0,1,No,0
32,596685,12,713,1024521,24,0.16,0,1,Yes,0
28,699351,6,633,176668,48,0.24,0,0,Yes,0
28,518690,4,644,50000,48,0.48,0,4,No,0
48,389768,28,627,504850,48,0.56,0,0,Yes,0
40,837691,7,634,392749,48,0.5,0,4,Yes,0
67,878841,7,586,345370,60,0.55,0,2,No,0
27,1000502,6,659,660376,24,0.46,0,4,Yes,0
31,294426,18,765,268595,48,0.64,0,3,No,0
40,1062191,38,806,642450,48,0.63,0,2,Yes,0
36,1067542,22,779,706813,24,0.61,0,2,No,0
24,927348,35,691,156949,36,0.45,0,4,Yes,0
26,673711,31,812,756614,24,0.75,0,1,Yes,1
42,892529,3,850,693307,60,0.08,2,0,No,0
46,751865,29,694,888120,60,0.19,0,4,No,0
23,1090554,38,600,501345,36,0.62,0,1,Yes,0
61,690036,4,784,291304,36,0.63,0,0,No,0
62,832407,2,583,813512,24,0.62,0,2,Yes,1
34,278503,21,609,512158,48,0.66,0,1,Yes,1
31,891589,27,513,955712,12,0.35,0,1,Yes,0
38,575133,21,738,677334,36,0.7,0,2,No,0
32,953739,21,494,493528,60,0.2,0,0,Yes,0
43,1036527,33,759,279631,36,0.71,0,2,Yes,0
32,617008,28,824,473907,36,0.44,0,1,No,0
33,809356,12,818,734324,12,0.16,0,1,No,0
45,852348,6,578,122964,24,0.57,0,3,No,0
65,910419,9,530,398737,48,0.26,0,3,No,0
39,1036957,27,628,96385,12,0.2,0,1,No,0
66,997703,3,750,239746,36,0.17,1,2,Yes,0
56,686032,31,776,347180,36,0.07,0,3,Yes,0
65,1279496,21,733,432317,36,0.59,0,1,No,0
28,1025596,19,722,588339,36,0.39,0,2,No,0
49,1221543,19,850,675441,36,0.74,0,1,No,0
52,904012,5,641,845861,36,0.36,0,1,No,0
64,921741,8,617,900801,24,0.64,0,4,Yes,0
38,764842,27,584,796315,24,0.73,0,0,No,0
26,666867,12,714,405145,48,0.07,0,1,No,0
38,1092601,30,665,558451,36,0.12,1,3,Yes,0
39,879377,38,745,359429,36,0.29,0,3,No,0
42,760530,13,643,562661,36,0.66,0,2,Yes,0
57,493212,21,730,459829,24,0.64,0,2,Yes,0
52,1266534,36,649,214425,24,0.31,0,2,Yes,0
61,833787,23,666,862989,36,0.19,2,1,Yes,0
23,431983,7,674,927018,36,0.61,0,1,Yes,0
48,824426,14,543,310480,36,0.47,0,1,Yes,0
30,739723,5,668,630188,24,0.07,0,0,No,0
55,727416,22,724,321285,24,0.61,0,3,No,0
49,972877,24,600,480190,36,0.72,0,1,No,0
35,740138,30,832,367087,36,0.08,0,3,No,0
53,708350,28,680,343209,60,0.25,0,1,No,0
27,1208721,22,629,547541,12,0.62,0,1,Yes,0
32,278129,9,627,50000,60,0.46,0,0,Yes,0
69,784585,8,789,369271,60,0.74,0,2,Yes,0
50,1078655,12,614,1503894,36,0.69,0,1,Yes,0
41,988079,31,703,114724,48,0.17,0,3,Yes,0
51,1106014,0,750,404926,60,0.52,1,1,No,1
44,1406471,0,724,572027,24,0.51,0,2,No,0
40,1309685,36,634,455099,36,0.13,0,2,Yes,0
57,453339,39,747,309027,24,0.11,0,1,No,0
24,316788,17,692,742004,36,0.45,0,3,No,0
48,898055,35,542,537344,24,0.33,0,1,Yes,0
64,393764,30,777,344138,60,0.43,2,2,No,1
40,222059,0,630,714317,36,0.22,0,2,Yes,0
44,894872,35,665,368164,60,0.44,0,1,No,0
69,970113,8,704,281277,24,0.32,0,0,Yes,0
52,1313342,21,637,646949,48,0.67,0,2,Yes,0
61,1030529,27,740,173236,36,0.26,0,1,No,0
56,1375868,25,591,939462,36,0.66,0,1,Yes,1
54,906666,9,634,879022,60,0.32,0,1,No,0
56,459118,2,778,636723,36,0.45,0,2,No,0
22,1046656,1,682,354454,24,0.25,0,2,No,0
35,1200293,36,595,233047,60,0.62,0,1,Yes,1
54,917325,30,686,50000,36,0.64,0,0,No,0
56,1235165,32,712,903992,24,0.62,0,2,No,0
26,763024,31,553,257640,36,0.5,0,2,No,0
59,963769,11,812,588525,36,0.26,1,3,Yes,0
62,747700,2,823,549745,36,0.5,0,1,No,0
32,1513713,25,689,81872,36,0.72,0,3,Yes,0
23,1052378,13,663,348891,48,0.5,0,1,Yes,0
65,464988,11,681,216737,24,0.72,0,1,No,0
38,1355779,25,751,698271,36,0.26,0,1,Yes,0
60,580046,15,716,709293,48,0.64,0,4,Yes,0
41,804108,7,699,438985,48,0.55,0,0,Yes,0
35,940490,27,790,289310,12,0.62,0,3,No,0
53,964997,6,770,546990,36,0.55,0,0,No,0
55,945116,14,603,776786,60,0.39,0,0,No,0
46,460086,35,750,129612,60,0.53,0,1,Yes,0
28,946110,7,772,1028167,48,0.7,0,2,Yes,0
56,1130193,9,702,439052,12,0.34,0,0,No,0
68,1121559,14,727,470292,36,0.72,0,0,No,0
50,409456,17,655,900663,12,0.08,0,0,Yes,0
43,603304,36,583,486052,48,0.06,0,2,Yes,0
62,486643,34,830,473719,48,0.4,0,0,Yes,0
64,901943,1,572,271637,36,0.64,0,1,Yes,1
34,334505,21,814,355726,12,0.22,0,0,Yes,0
34,463177,14,674,323464,48,0.54,0,1,Yes,0
22,600459,36,779,58578,48,0.43,0,2,Yes,0
57,260962,38,681,50000,36,0.25,0,1,No,0
25,791660,35,754,442100,48,0.25,0,2,Yes,0
58,200000,4,715,154735,12,0.1,0,0,No,0
65,945603,14,626,663164,48,0.43,0,2,Yes,0
61,680893,26,690,444811,36,0.37,0,2,No,0
67,612805,15,668,101077,36,0.25,0,1,No,0
34,661775,35,731,881189,48,0.73,0,0,Yes,1
59,781884,37,691,393399,36,0.62,0,0,Yes,0
45,977859,17,702,628774,36,0.42,0,1,No,0
40,1195129,34,597,911033,24,0.42,1,1,Yes,1
22,1104171,24,577,491541,24,0.19,0,1,No,0
59,1469506,21,685,503495,60,0.5,0,2,Yes,0
26,1002589,30,694,859529,36,0.72,0,0,Yes,0
37,842094,36,595,426521,12,0.68,0,1,No,0
45,662890,33,725,768295,60,0.11,0,0,No,0
48,672860,22,729,481482,24,0.09,0,4,Yes,0
22,961711,15,692,542578,36,0.72,0,0,No,0
55,500166,5,681,539086,24,0.19,0,0,Yes,0
57,868692,14,578,407547,60,0.44,0,2,Yes,0
25,794340,17,577,366301,36,0.1,0,0,Yes,0
21,581570,37,711,336849,48,0.64,0,3,Yes,0
60,484642,12,613,176095,36,0.13,0,3,Yes,0
32,1557415,23,619,388351,12,0.5,1,1,Yes,0
56,381028,12,702,433661,36,0.09,0,3,Yes,0
65,779672,0,843,601882,36,0.16,0,2,No,0
43,1166775,35,648,476927,60,0.41,0,0,Yes,0
67,958717,17,844,769348,48,0.08,1,3,Yes,0
51,657939,32,673,758103,60,0.19,0,3,Yes,0
31,442355,37,725,836309,36,0.15,0,1,No,0
30,838935,5,756,449414,36,0.08,0,2,Yes,0
23,200000,16,762,372247,36,0.73,0,3,Yes,1
34,850960,3,707,158130,36,0.37,0,2,No,0
36,810447,13,661,827106,48,0.65,0,0,Yes,0
30,1121036,29,746,211383,48,0.3,0,0,Yes,0
49,456998,19,713,274724,60,0.08,0,4,No,0
30,702958,7,645,556434,12,0.54,1,1,No,0
32,931070,1,792,422785,48,0.08,1,2,No,0
50,861670,36,716,861826,36,0.44,0,3,Yes,0
61,397206,3,620,308113,36,0.15,0,0,Yes,0
21,605749,9,610,507268,36,0.52,0,1,Yes,0
25,1219973,19,836,50000,60,0.67,0,2,Yes,0
40,877797,34,640,808040,36,0.72,0,0,No,0
28,300765,9,740,81050,24,0.42,0,2,Yes,0
63,1064969,27,710,1121928,36,0.42,1,3,No,0
32,320220,14,737,470650,60,0.08,0,0,No,0
21,707893,35,832,428153,48,0.59,0,3,No,0
40,968982,0,759,492089,24,0.72,0,4,Yes,0
48,1164111,21,746,231491,48,0.36,0,3,Yes,0
63,200000,26,664,664472,24,0.61,0,1,Yes,1
57,1013477,28,626,397861,36,0.61,0,3,No,0
67,1058517,14,850,421839,36,0.6,0,2,Yes,0
57,632895,9,676,821277,36,0.58,0,3,Yes,0
32,827272,19,671,70059,12,0.2,0,1,Yes,0
57,200000,21,703,451060,48,0.58,0,1,Yes,0
69,200000,8,695,472649,48,0.15,0,0,No,0
69,1132559,31,807,534515,36,0.55,0,0,Yes,0
64,638331,16,723,360949,24,0.05,0,2,Yes,0
48,696136,18,575,420242,24,0.69,1,1,Yes,1
67,870402,39,627,962305,24,0.63,0,1,Yes,0
35,690220,26,680,624862,24,0.53,0,4,Yes,0
26,662392,36,762,305233,60,0.12,0,0,Yes,0
64,918346,33,558,663043,36,0.63,0,3,Yes,0
40,351339,9,719,511411,24,0.66,0,0,Yes,1
34,1147975,29,738,685485,24,0.53,0,2,Yes,0
22,730924,20,750,449001,60,0.73,0,1,Yes,0
29,498302,20,673,298049,36,0.12,0,0,Yes,0
57,457937,33,763,82869,36,0.55,0,2,Yes,0
40,812795,8,614,788088,36,0.42,0,2,No,0
46,708092,33,755,671029,24,0.15,0,2,Yes,0
49,335347,11,675,589176,60,0.51,0,4,No,0
21,619449,20,683,662219,12,0.61,1,0,Yes,1
55,557240,19,682,809173,48,0.17,0,1,No,0
26,1178556,5,732,79226,12,0.61,0,2,No,0
57,839135,35,591,520834,36,0.12,0,1,No,0
25,1270801,11,750,50000,60,0.46,0,2,Yes,0
53,587007,30,749,401493,48,0.61,0,3,No,0
69,712660,1,655,582478,36,0.15,0,2,Yes,0
34,915965,15,680,412011,36,0.45,0,2,Yes,0
32,981239,0,611,940598,24,0.35,0,2,Yes,0
62,1016297,3,587,427232,60,0.48,0,0,No,0
40,533657,0,695,307443,48,0.35,0,2,No,0
44,542096,34,696,507997,36,0.23,0,1,No,0
63,693373,12,653,241021,36,0.23,0,1,No,0
54,1244272,30,580,280883,24,0.66,0,1,No,0
45,499795,19,716,734118,48,0.16,2,3,Yes,0
49,641922,6,651,747567,36,0.14,1,1,Yes,0
59,1018957,39,620,539270,36,0.12,0,2,Yes,0
51,1002906,32,782,652575,60,0.1,0,2,Yes,0
67,966625,27,601,1022098,24,0.06,0,3,Yes,0
63,824253,19,724,485406,24,0.16,0,1,Yes,0
43,480459,31,560,283279,36,0.18,0,3,Yes,0
64,592767,8,565,633938,24,0.24,0,3,No,0
58,1137947,33,718,708809,36,0.14,0,1,Yes,0
40,1032091,13,653,733423,36,0.12,0,1,Yes,0
43,399504,3,586,786045,12,0.43,0,1,No,1
65,1060837,28,755,748730,24,0.55,0,1,No,0
36,1192633,14,709,630009,24,0.49,0,0,No,0
62,816149,16,509,658973,12,0.44,0,3,Yes,0
28,927884,18,756,602687,24,0.36,0,0,Yes,0
41,1103445,37,594,102663,24,0.49,0,1,No,1
21,591285,8,543,70377,36,0.68,0,3,Yes,0
28,1498879,26,614,236683,48,0.49,0,1,No,0
49,1166923,14,676,704949,24,0.09,0,0,Yes,0
52,957208,36,686,390584,48,0.45,1,1,Yes,0
58,789647,27,549,534050,12,0.42,0,2,No,0
25,948433,3,566,890823,48,0.37,0,1,No,0
67,331915,20,619,770920,48,0.45,0,1,No,0
42,1424626,33,624,50000,36,0.52,0,1,No,0
67,1138667,18,740,682546,24,0.08,0,0,Yes,0
54,1239204,36,646,514036,36,0.39,0,1,No,0
21,809227,3,739,336044,48,0.62,1,0,No,0
46,691913,36,767,418124,36,0.42,0,1,Yes,0
63,597707,31,724,421610,24,0.1,0,1,No,0
30,1044072,11,434,172086,60,0.59,1,2,Yes,0
50,646235,15,655,561135,36,0.71,0,2,Yes,0
38,743792,13,666,1044145,48,0.65,0,2,No,0
37,963919,0,675,753985,12,0.3,0,2,Yes,0
46,602201,31,513,50000,36,0.42,0,1,No,0
28,1113184,20,618,572833,36,0.46,1,2,Yes,0
67,794677,3,571,572806,36,0.55,0,1,Yes,0
60,347564,8,605,251277,24,0.52,1,3,Yes,1
69,598999,21,659,197279,36,0.19,0,2,No,0
32,1192455,11,620,724419,48,0.64,0,3,No,0
47,518899,29,611,526231,36,0.64,0,1,Yes,0
28,1068223,29,664,380678,48,0.33,0,1,Yes,0
45,836502,31,640,650635,36,0.14,0,4,Yes,0
66,748489,35,695,1029330,36,0.48,0,2,No,0
24,1553778,6,646,564492,24,0.3,0,1,No,0
53,414735,16,554,572840,48,0.57,0,2,No,1
21,577959,0,597,494609,24,0.27,1,1,No,1
39,792970,13,653,401944,48,0.23,1,2,Yes,0
51,1524724,37,644,704779,36,0.66,0,0,Yes,0
36,793669,25,566,451852,36,0.48,0,4,Yes,0
34,882275,26,734,624980,60,0.11,0,1,Yes,0
68,699249,15,704,875154,24,0.53,0,0,Yes,0
25,907588,6,631,686188,36,0.58,0,3,No,0
61,717854,31,666,181580,36,0.21,0,3,No,0
46,1008596,24,594,166950,60,0.73,0,2,Yes,1
48,1032256,30,748,813318,48,0.31,0,2,Yes,0
22,729768,15,845,471955,48,0.71,0,3,Yes,0
26,462355,13,628,565209,24,0.26,0,2,Yes,0
29,828070,24,777,302036,24,0.48,0,2,Yes,0
53,1220636,29,611,654014,12,0.41,0,1,No,0
61,552001,6,637,971968,36,0.74,0,2,No,1
45,900175,11,794,537901,36,0.34,0,4,Yes,0
68,438277,2,670,661967,36,0.18,0,1,Yes,0
33,488057,26,734,811365,36,0.63,0,2,Yes,0
29,1190109,18,658,920033,48,0.08,0,0,Yes,0
33,1007460,36,535,330182,24,0.67,0,2,No,0
51,904689,6,850,603410,60,0.13,0,1,Yes,0
61,200000,15,662,818783,12,0.45,0,3,No,0
31,634132,31,692,888521,12,0.55,0,1,Yes,0
24,982044,7,621,394081,48,0.29,0,1,No,0
54,365280,12,742,332459,36,0.64,0,4,No,1
58,693834,10,736,461255,60,0.47,0,0,Yes,0
66,1029996,19,555,419811,36,0.33,0,2,Yes,0
24,346658,17,693,430335,60,0.28,0,3,No,0
58,296214,36,750,602989,24,0.13,0,1,No,0
39,351851,5,776,364794,36,0.5,0,0,Yes,0
26,900345,19,731,889789,60,0.3,0,3,Yes,0
54,632900,31,738,398837,36,0.27,0,2,No,0
38,1063414,28,636,349707,12,0.71,1,0,No,0
33,836305,3,581,207538,12,0.24,1,1,Yes,0
61,1364160,6,655,814312,60,0.66,0,2,No,0
43,428755,19,579,176647,36,0.73,0,2,No,0
39,899531,33,620,614341,36,0.63,0,2,Yes,0
65,561435,35,619,673642,48,0.06,0,2,Yes,0
31,980063,6,604,50000,48,0.66,0,2,Yes,0
21,835980,32,722,172820,36,0.2,0,3,Yes,0
44,502063,14,598,405538,60,0.3,0,1,Yes,0
27,752854,31,826,973632,36,0.74,0,3,Yes,1
45,821929,21,759,405601,48,0.33,0,1,Yes,0
41,620207,39,775,374134,12,0.51,0,0,Yes,0
35,1018150,28,624,312539,24,0.27,0,0,Yes,0
21,490672,24,696,308633,60,0.31,0,2,Yes,0
32,1427302,4,596,341214,36,0.47,0,1,Yes,0
27,1086107,13,697,331969,36,0.71,0,1,Yes,0
35,904622,34,538,321284,48,0.25,0,2,Yes,0
41,1653594,1,764,320998,36,0.22,1,2,Yes,0
39,707210,24,628,404707,12,0.07,0,0,No,0
49,983412,15,704,737702,48,0.19,0,1,Yes,0
45,866804,15,719,219714,36,0.23,0,2,Yes,0
53,1039240,10,635,338256,60,0.09,0,3,Yes,0
69,1248834,34,616,370077,36,0.44,0,0,Yes,0
52,964684,22,670,499987,36,0.14,0,2,No,0
69,1112538,4,744,309291,36,0.41,0,2,Yes,0
55,634883,34,668,1018849,12,0.18,0,1,Yes,0
64,738154,28,728,645803,12,0.71,1,0,Yes,0
58,1291486,4,743,743602,24,0.26,0,2,Yes,0
46,979056,2,664,559646,60,0.12,0,1,No,0
31,874497,5,670,851088,60,0.64,0,0,Yes,0
55,574026,22,691,214213,36,0.33,0,3,Yes,0
28,1089978,1,771,360632,24,0.62,0,1,No,0
66,565560,17,652,295856,24,0.27,0,0,Yes,0
34,477150,29,771,457154,24,0.4,0,1,Yes,0
30,834477,37,700,895927,60,0.36,0,0,Yes,0
22,200000,4,621,1049843,36,0.44,0,2,Yes,0
66,983323,10,676,738658,48,0.33,0,0,No,0
29,913083,0,590,475509,36,0.4,0,2,No,0
23,694158,9,572,780011,36,0.53,0,0,Yes,1
41,721364,25,728,870784,36,0.34,0,0,Yes,0
46,764203,32,743,794128,12,0.53,0,1,No,0
28,563261,26,677,466591,36,0.55,0,4,Yes,0
68,855371,11,683,473243,60,0.57,0,3,Yes,0
22,725181,1,633,335435,36,0.38,0,0,Yes,0
26,833735,0,693,438696,36,0.05,0,1,Yes,0
48,753281,0,838,300177,36,0.58,0,1,Yes,0
49,694241,32,760,483896,36,0.69,0,0,Yes,0
46,883547,21,673,494214,36,0.51,0,1,No,0
45,1034329,11,666,284105,24,0.42,1,2,Yes,0
32,642569,38,649,1171348,60,0.44,0,0,No,0
25,918641,35,567,574023,12,0.5,0,2,Yes,0
54,955829,20,641,823112,36,0.75,0,1,Yes,0
68,414840,19,733,800153,24,0.09,0,2,Yes,0
57,1092963,35,605,985747,12,0.06,0,2,Yes,0
35,1416935,25,657,273246,48,0.72,0,2,Yes,0
64,773571,30,590,363682,60,0.36,0,3,Yes,0
56,748641,0,742,50000,48,0.48,0,3,Yes,0
35,736098,37,578,95597,24,0.58,0,2,Yes,1
63,986181,13,727,247563,36,0.57,0,1,No,0
68,953233,25,762,462043,12,0.5,1,0,No,0
43,322801,6,654,476460,36,0.38,0,3,No,0
26,540163,11,625,1293757,12,0.45,1,2,No,1
66,952193,23,718,625816,48,0.56,0,1,Yes,0
64,756493,18,808,742563,12,0.65,0,0,Yes,0
63,450164,8,787,535517,12,0.14,0,2,Yes,0
65,1250078,34,674,171806,60,0.24,0,4,No,0
41,560086,3,609,574178,60,0.33,1,1,Yes,0
43,810733,31,661,96451,12,0.52,0,2,Yes,0
63,748544,5,544,454883,24,0.33,0,1,Yes,0
36,476393,27,635,661997,48,0.22,1,1,Yes,0
67,855486,27,716,353190,36,0.07,0,0,Yes,0
35,917632,39,650,548224,60,0.64,0,1,No,0
45,659697,28,631,349494,36,0.34,0,1,No,0
56,699142,4,675,223631,12,0.28,0,0,Yes,0
31,980146,4,658,621963,12,0.42,0,1,Yes,0
35,207458,36,740,761141,36,0.14,2,0,No,0
24,546498,27,573,760513,48,0.33,1,1,Yes,0
41,864030,8,722,439703,48,0.58,0,4,Yes,0
33,641978,28,676,50000,60,0.57,0,1,No,0
42,637691,13,714,522079,24,0.59,0,1,Yes,0
39,1070507,37,568,817336,48,0.38,0,0,Yes,0
54,610002,39,750,171306,48,0.31,0,0,Yes,0
34,1393753,33,723,945228,48,0.63,0,1,Yes,0
24,273646,36,813,50000,36,0.17,0,1,No,1
68,200000,13,613,599251,36,0.56,0,2,Yes,0
66,1063680,17,633,707440,36,0.67,0,1,Yes,0
47,504814,32,537,867053,36,0.25,0,0,No,0
49,509877,33,614,614752,24,0.19,0,1,No,0
67,1095419,27,794,418685,48,0.41,0,0,Yes,0
48,650819,35,703,542021,48,0.2,0,3,No,0
55,1073108,36,621,329406,24,0.66,0,0,No,0
28,616876,22,690,50000,36,0.22,1,0,Yes,0
36,908759,16,675,439501,36,0.27,0,1,Yes,0
62,646573,10,527,622785,48,0.67,0,2,No,1
56,524056,31,541,756432,48,0.19,0,1,Yes,0
50,1319180,36,768,378551,36,0.67,0,0,No,0
38,1134938,14,738,869291,48,0.2,0,3,Yes,0
22,582007,3,561,458007,24,0.69,0,2,Yes,0
69,746481,38,669,619641,24,0.27,1,1,Yes,0
33,1242868,29,622,686481,24,0.22,0,2,Yes,0
24,503533,9,767,513350,12,0.38,0,1,Yes,0
46,519767,22,715,477345,48,0.31,0,1,Yes,0
45,941018,23,591,889281,60,0.19,0,3,Yes,0
50,1481148,35,689,75246,36,0.29,0,0,No,0
31,816149,4,676,510603,60,0.55,0,3,No,0
27,1114943,36,676,50000,36,0.63,0,2,Yes,0
51,494768,18,639,50619,24,0.62,0,3,Yes,0
64,908315,36,681,486724,12,0.58,0,1,Yes,0
30,692115,7,611,368526,48,0.05,0,1,Yes,0
59,1359987,6,584,1019736,48,0.35,0,1,Yes,0
33,1279607,39,580,436654,24,0.17,0,2,No,0
